(0,1,2,3,4,5) = (neutral, joy, sadness, fear, anger, surprise)

Text, emotion
"میرا اندازہ ہے کے اس نے اس کو ایک برا پائپ آرگن لے کر دیا ہے۔ اور وہ واقعی اس سے خوش نہیں ہے۔", 0
"ابا، میں بس... اس سے شادی نہیں کر سکتی، میں معافی چاہتی ہوں", 2
"میں بس اس سے پیار نہی کرتی", 2
"مجھے فرق پڑتا ہے", 4
"بابا, میری بات سنیں, ایسا ہے ک پوری زندگی مجھے لوگ کہتے رہے ہیں ک 'تم جوتا ہو',ور پھر اجج میں رکی ور مینی کہا 'میں جوتا نہی بننا? میں پرس بننا چاہتی ہوں? یا ایک ٹوپی '", 2
"نہیں, بابا میں یہ نہیں کہ رہی ک اپ مجھے ٹوپی خرید کر دیں, یہ ایک استعارہ ہے", 1
"آپ دیکھ سکتے ہیں کہ اسے کہاں پریشانی ہوئی ہے۔", 0
"دیکھو پاپا، یہ میری زندگی ہے، ٹھیک ہے شاید میں یہیں مونیکا کے ساتھ رہوں۔", 0
"ٹھیک ہے، میرا اندازہ ہے کہ ہم نے یہ طے کر لیا ہے کہ یہاں مونیکا کے ساتھ کون رہ رہا ہے...", 1
"ٹھیک ہے، شاید یہ میرا فیصلہ ہے، ٹھیک ہے، شاید مجھے آپ کے پیسوں کی ضرورت نہیں ہے", 4
"رکو!! رکو، میں نے کہا شاید!!", 1
"بس سانس لو, سانس لو... اچھی چیزوں ک بارے میں سوچو", 0
"گلابوں اور خرگوشوں اور بلی کے بچوں پر بارش کے قطرے، بلیو بیلز اور سلیگھیلز اور - کچھ دستانہ کے ساتھ... لا لا لا لا... کچھ اور نوڈلز کے ساتھ۔ یہ چند ہیں...", 1
"اب میں بالکل ٹھیک ہوں۔", 1
"میں نے مدد کی!", 1
"ٹھیک ہے، دیکھو، یہ شاید بہترین کے لیے ہے، تم جانتے ہو؟ آزادی۔ اپنی زندگی کو سنبھالنا۔ پوری، 'ہیٹ' والی چیز۔", 0
"اور، آپ کو کسی بھی چیز کی ضرورت ہو، آپ ہمیشہ جوئی کے پاس آ سکتی ہیں۔ میں اور چاندلر ہال کے اس پار رہتا ہے۔ اور وہ بہت دور ہے۔", 0
"جوی, اس پر لائن مارنا بند کرو, آج اس کی شادی کا دن ہے", 5
"کیا، جیسے کوئی اصول ہے یا کچھ؟", 0
"دوبارہ ایسا نہ کرنا, یہ بہت ہی بری آواز ہے", 4
"میں، میں پال ہوں", 0
"اسے اندر انے دو", 1
"پال کون ہے؟", 0
"پال شرابی, پال?", 5
"شاید", 0
"رکو۔ آج رات آپ کی 'اصل ڈیٹ نہیں' پال دی وائن گائے کے ساتھ ہے؟", 5
"اس نے اکھر کار تمھے باہر لے جانے کے لئے پوچھ ہی لیا?", 1
"ہاں!", 1
"اوہ، یہ ایک پیاری ڈائری لمحہ ہے.", 1
"ریچ, رکو, میں منہ کر سکتی ہوں...", 0
"نہیں, تمہے جانا چاہیے, میں ٹھیک ہوں", 0
"راس, کیا تم ٹھیک ہو؟ میرا مطلب ہے، کیا تم چاہتی ہو کہ میں رہوں؟", 0
"یہ اچھا ہو گا...", 2
"واقعی؟", 5
"نہیں، جاؤ! یہ پال دی وائن گائے ہے!", 1
"اس کا کیا مطلب ہے؟ کیا وہ اسے بیچتا ہے، پیتا ہے یا بہت شکایت کرتا ہے؟", 5
"ہیلو، اندر آؤ! پال، یہ ہے... ہر کوئی، سب لوگوں، یہ پال ہے۔", 0
"ارے! پال! ہیلو! دی وائن گائے!", 0
"مجھے افسوس ہے، میں نے آپ کا نام نہیں سمجھا۔کیا پال تھا؟", 0
"ٹھیک ہے بیٹھو۔ دو سیکنڈ۔", 0
"اوہ، میں نے ابھی چار پلکیں نکالی ہیں۔ یہ اچھا نہیں ہو سکتا۔", 1
"پال!", 0
"ہاں؟", 0
"چپ رہو جوئی!", 4
"تو ریچل، آج رات تم کیا کر رہی ہو؟", 0
"مجھے اپنے سہاگ رات پر اروبا جانا تھا، تو کچھ نہیں!", 0
"اپ کو تو آپکی سہاگ رات بھی نصیب نہی ہوئی", 2
"ویسے, اگر آپکو کو اکیلا رہنا پسند نہ ہے تو جوی اور چندلر میری مدد کرنے آ رہے ہیں آج رات ", 0
"ہاں، اور ہم اس کے بارے میں بہت پرجوش ہیں۔", 1
"بہت شکریہ, پر میں اج یہیں رکوں گی, بہت لمبا دن تھا آج ", 0
"ٹھیک ہے، ضرور۔", 0
"فیبس, تم مدد کرنا چاہو گی?", 0
"اوہ! کاش میں کر سکتی, پر میں کرنا نہی چاہتی", 1
"مجھے ان چھوٹے کیڑے کی نظر آنے والی چیزوں کے ایک گروپ کا استعمال کرتے ہوئے اس چیز کے ساتھ ایک بریکٹی چیز جوڑنا ہے۔ میرے پاس کوئی بریکیٹی چیز نہیں ہے، مجھے کچھ بھی نظر نہیں آرہا ہے اور- میں اپنی ٹانگوں کو محسوس نہیں کر سکتا۔", 0
"اور یہ لو ہمارے پاس ایک کتابوں کی الماری ہے", 0
"یہ ایک خوبصورت چیز ہے۔", 1
"یہ کیا ہے؟", 0
"مجھے یہ کہنا پڑے گا کہ یہ ایک ال-شکل بریکٹ ہے۔", 0
"جو کہاں جاتی ہے?", 0
"مجھے کوئی اندازہ نہیں.", 0
"کتابوں کی الماری ک ساتھ ہمارا کام ختم ہوا", 1
"سب ختم!", 5
"یہ کیرول کی پسندیدہ بیئر تھی۔ وہ ہمیشہ ڈبے سے پیتی تھی، مجھے معلوم ہونا چاہیے تھا۔", 2
"ارے-ارے-ارے-ارے، اگر یہ چیز شروع کرنے جا رہے ہو, تو ہم یہاں سے جا رہے ہیں۔", 3
"ہاں یہ سب مزہ خراب مت کرو۔", 3
"راس، میں تم سے ایک سوال پوچھتا ہوں۔ اسے فرنیچر، سٹیریو، اچھا ٹی وی ملا- تمہیں کیا ملا؟", 0
"تم لوگ.", 2
"یا خدایا", 2
"تمہارے ساتھ کھیلا گیا ہے", 4
"یا الله!", 2
"میں جانتا ہو, میں اتنا بیوقوف ہوں, مجھے پہلے ہی اندازہ لگا لینا چاہیے تھا جب وہ ہفتے میں چار, پانچ بار دانتوں ک ڈاکٹر ک پاسس جایا کرتی تھی", 2
"آخر دانت کتنے ہی صاف ہو سکتے ہیں", 2
"میرا بھائی اس وقت اس سے گزر رہا ہے، وہ بہت پریشان ہے۔ تم اس سے کیسے گزرے؟", 2
"وہ اس کی کوئی قیمتی چیز توڑنے کی کوشش کر سکتا ہے, جسے کے اس کی-", 0
"-ٹآنگ?", 1
"یہ ایک طریقہ ہے, میں... مینے گھڑی توڑی تھی", 1
"آپ نے واقعی اس کی گھڑی توڑ دی؟ واہ! میں نے جو سب سے برا کام کیا وہ یہ تھا کہ میں نے بوائے فرینڈ کے پسندیدہ تولیے کے ٹکڑے ٹکڑے کر دیے تھے۔", 1
"بیری, میں معافی چاہتی ہو... مجھے پتا ہے تم اس دن جو منے موزوں کے ساتھ پیار کرنے کے بارے میں بولا تھا, پر وہ بات نہی ہے...", 2
"یہ مجھ میں ہی خامی ہے, میں تو بس", 2
ہیلو، مشین نے مجھے دوبارہ کاٹ دیا... ویسے بھی..., 2
"دیکھو, میں جانتی ہو کے کوئی خوشنصیب لڑکی ہی ہوگی جو مسسس بیری بنی گی... پر وہ میں نہی ہوں. مجھے تو یہ بھی نہی پتا کے میں کون ہوں", 2
"پر تمھے بھی مجھے ایک موقع دینا ہوگا...", 2
"میں طلاق یافتہ ہو, میں صرف چھبیس کی ہوں ور میں طلاق یافتہ ہوں!", 2
"میں نہیں مانتا!", 5
"تمہیں رکنا چاہیے!", 4
"اس میں مجھے صرف ایک گھنٹہ لگا۔", 0
"دیکھو, روس, تمہے سمجھنا ہوگا,ہمارا رشتہ کچھ خاص عرصے تک رہا نہی ہے. تم, البتہ, چار سال اس عورت سی محبّت کرتے رہے ہو, چار سال قربت اور اشتراق ک جس ک آخر میں وو تمہارا دل چور کر گئی, اور اسی کی وجہ سے ہم نہیں پیار کرتے, میرے خیال سی میرا کہنے کا یہ مطلب نہیں تھا", 2
"تمھے پتا ہے سب سی ڈراؤنی چیز کیا ہے, کے ہر کسی ک لئے بس ایک ہی عورت ہو... بس ایک عورت ور بات ختم", 2
"بدقسمتی سے میرے معاملے میں، اس کے پاس صرف ایک عورت تھی- اس کے لیے...", 2
"میں تمھ ایک بات بتاتا ہو, دنیا میں بہت سارے ذائقے ہیں جسی, راکی روڈ اور کوکی دوغ, اور ہاں! چررے ونیلا", 1
"یہ تم کیا بات کر رہے ہو, ایک عورت?, یہ تو ایسا ہی ہے ک جسی صرف ایک ہی یکے کریم کا ذائقہ ہے تماہرے لئے تم انھے جممئیس اور میووں ک ساتھ یا کریم ک ساتھ, تمہارے ساتھ یہ بوہوت اچھی بات ہی ک تمہاری شادی ہو گئی. تم کیا تھے.. قریب ٨ سال کے? دنیا میں دوبارہ خوش آمدید، بس ایک چمچ پکڑیں ​​اور اندر کود جاؤ" , 1
"میں ایمانداری سے نہیں جانتا کہ مجھے بھوک لگی ہے یا میں  ہارنی ہوں", 3
"مرے فریزر سے دور ہی رہنا", 1
"جب سے وو میرے سے دور گئی ہے, تبب سے میں... اہ", 2
"کیا?... کیا تم اس کو نوڈلس سے لکھنا چاہو گے", 0
"نہیں, یہ کام کوئی پانچویں ڈیٹ پے ہوتا ہے", 1
"وہہ, تو پانچویں ڈیٹ ہونے والی ہے?", 1
"کیا نہیں ہے?", 3
"ہاں... ہاں، مجھے لگتا ہے کہ ہے۔ تم کیا کہنے والے تھے؟", 0
"ٹھیک ہے، جب سے اس نے مجھے چھوڑا ہے، ام، میں پرفارم نہیں کر پا رہا، ... جنسی طور پر۔",  2
"اوہ خدا، اوہ خدا، مجھے افسوس ہے ... مجھے بہت افسوس ہے ...", 2
"کوئی بات نہیں...", 0
"میں جانتی ہوں, کے اس وقت خود پر تھوکے جانے کی تمہے ضرورت نہی ہے... امم... کتنا وقت?", 0
"دو سال.", 0
"واہ, مجھے, مجھے خوشی ہے ک تم نی اس کی گھڑی توڑ دی", 1
"تو تم... ابھی بھی وہ پانچویں ڈیٹ چاہتی ہو?", 5
"... ہاں, ہاں میں چاہتی ہوں", 1
"ہم آج یہاں جمع ہوئے ہیں جوآن لوئس کننگھم اور چارلس، چاچی-چاچی-چاچی، آرکولا میں مقدس شادی کے بندھن میں شامل ہونے کے لیے۔", 0
"اوہ... دیکھو... لیکن جوآن چاچی سے پیار کرتی تھی! یہی فرق ہے!", 2
"چمچ پکڑو۔ کیا تم جانتے ہو کہ مجھے چمچ پکڑے کتنا وقت ہو گیا ہے؟ کیا 'بلی، ڈونٹ بی ہیرو' کے الفاظ آپ کے لیے کچھ معنی رکھتے ہیں؟", 0
"زبردست کہانی! لیکن، مجھے جانا ہے، میں نے اینڈریا-اینجیلا-اینڈریا کے ساتھ ملاقات کرنی ہے... اوہ یار،", 3
"انجیلا چیخنے والی ہے، اینڈریا کے پاس بلیاں ہیں۔", 0
"تمھ پتا ہے بعد یہ ہے ک اگر میں اپنے اپ کو اتنا سمبھال لو کے کسی عورت سے باہر جانے ک لئے پوچھو... تو مجھے نہیں پتا ک کس سے?", 2
"کیا یہ حیرت انگیز نہیں ہے؟ میرا مطلب ہے، میں نے اپنی پوری زندگی میں پہلے کبھی کافی نہیں بنائی۔", 5
"یہ حیرت انگیز ہے.", 1
"مبارک ہو۔", 1
"تمہے پتہ ہے، مجھے لگاتا ہے کے آگر میں کافی بنا سکتی ہوں، تو میں کچھ بھی کر سکتی ہوں", 1
"اگر پولینڈ پر حملہ کر سکتا ہے، تو ایسا کچھ نہیں ہے جو میں نہیں کر سکتا۔", 1
"سنو, تم اگر یہ کر ہی رہی ہو, اگر تمھے لگے کے تمھے مجھے ایک 'ویسٹرن آملیٹ' بنا کے دینا پڑے... ہلا کے مجھے اتنی بوکھ نہیں ہے", 0
"وہ, اچھا ہوا, لینی اور سقیگی یہاں آ گئے", 1
"صبح بخیر۔", 0
"صبح بخیر!", 5
"میری رات بہت اچھی گزری, مجھے مزہ آیا", 0
"آپ کا شکریہ! آپ کا بہت بہت شکریہ!", 1
"ھم بعد میں بات کریں گے.", 0
"وہ حقیقی ڈیٹ نہیں تھی؟! تو حقیقی ڈیٹ پر کیا کرتے ہیں؟"
"چپ کرو، اور میری میز واپس رکھو۔", 0
"ٹھیک ہے!", 0
"ٹھیک ہے، بچوں، مجھے کام پر جانا ہے۔ اگر میں ان نمبروں کو داخل نہیں کرتا ہوں، تو... اس سے زیادہ فرق نہیں پڑتا...", 0
"تو، آپ سب کے پاس نوکری ہے؟", 0
"ہاں، ہم سب کے پاس نوکریاں ہیں۔ دیکھو، ہم اس طرح سامان خریدتے ہیں۔", 1
"ہاں، میں ایک اداکار ہوں۔", 0
"واہ! کیا میں تمہیں کسی چیز میں دیکھا ہوگا؟", 1
"مجھے شک ہے۔ زیادہ تر علاقائی کام۔", 0
"اوہ, رکو, رکو, اگر تم پننوکیو کے ری-رنز دیکھنے تھیٹر گئی ہو پارک میں", 0
"دیکھو، گیپیٹو، میں ایک حقیقی لڑکا ہوں", 1
"میں یہ نہیں برداشت کروں گا", 4
"ہاں میں جانتا ہو, معاف کرنا", 0
"آج کسی طبیعت ہے, تم ٹھیک سویی, بیری سے بات ہوئی?", 0
"میں تو کل کی مسکرائی ہی جا رہی ہوں", 1
"ہاں میں دیکھ سکتی ہوں، تم ایسے لگ رہا ہے جیسے منہ میں ہینگر رکھ کر سوئی ہو۔", 0
"میں جانتی ہوں, یہ بس... تمھے, تم اور ٹونی دے مارکو یاد ہو?", 0
"ارے ہان.", 0
"بس ویسا ہی ہے, بس احساسات ک ساتھ", 0
"واؤ, تم تو پھنس گئی ہو", 1
"بہت برا", 1
"شادی کا جوڑا چاہیے؟ مشکل سے استعمال ہوا ہے۔", 1
"مجھے لگتا ہے کہ ہم یہاں خود سے تھوڑا آگے جا رہے ہیں۔", 3
"ٹھیک ہے، میں ابھی اٹھ کر کام پر جاؤں گی اور اس کے بارے میں بالکل نہیں سوچوں گی۔", 0
"میرے  لئے دعا کرنا", 0
"کس لئے؟", 0
"میں نوکری ڈھونڈنے جاوں گی", 0
"ہیلو، مونیکا!", 1
"ہیلو فرینی، خوش آمدید! فلوریڈا کیسا تھا؟", 1
"تم نی سیکس کیا تھا, ہے نہ?", 0
"ایسا کیسے کرتے ہیں؟", 0
"اوہ، میں تم سے نفرت کرتی ہوں، میں اپنی آنٹی روز کو طوطے کے جنگل میں دھکیل رہی ہوں اور تم جنسی تعلقات کر رہی ہو!", 4
"تو؟ کون؟", 0
"تم پال کو جانتی ہو؟", 0
"پال دی وائن گائے؟ اوہ ہاں، میں پال کو جانتی ہوں۔", 0
"یعنی, تم پال کو اس طریقے سے جانتی ہو جسے میں جانتی ہوں?", 5
"تم مزاق کر رہی ہو؟ میں پال کا کریڈٹ لیتی ہو، اس کے کچھوئے میں دو سال تک ہمت نہیں تھی", 0
"ظاہر ہے, وہ بس بڑھا چڑھا کر ہی بتا رہی تھی", 0
"کیوں؟! کیوں؟ کیوں، کوئی ایسا کیوں کرے گا؟", 4
"میں فرض کر رہا ہوں کے تمھے 'اس کے ساتھ سیکس کروانے کے لیے' کی بجائے کوئی نفیس جواب چاہیئے", 0
"میں مردوں سے نفرت کرتی ہوں! مجھے مردوں سے نفرت ہے!", 4
"اوہ نہیں، بغض مت کرو، نفرت نہ پھلاؤ", 0
"کیا یہ میں ہوں؟ کیا ایسا لگتا ہے کہ میرے پاس کوئی ایسا بیکن ہے جسے صرف کتے اور شدید جذباتی مسائل والے مرد ہی سن سکتے ہیں؟", 4
"چلو, چھوڑو, اپنے پاؤں آگے کرو", 0
"مینے سے بس سوچا تھا کے وہ اچھا ہے", 2
"مجھے ابھی تک یقین نہیں آ رہا کے تم سمجھ نہیں پائی کے وہ بس بڑھا چڑھا کے باتین کر رہی تھی", 1
"بوجھو؟", 0
"تمہیں نوکری مل گئی؟", 5
"کیا تم مذاق کر رہے ہو؟ میں کسی چیز کے لیے تربیت یافتہ نہیں ہوں! آج بارہ انٹرویوز میں مجھ پر ہنس کے مجھے باہر نکالا گیا۔", 4
"اور پھر بھی آپ حیرت انگیز طور پر پرجوش ہو-", 1
"اگر تمھے جان اور ڈیوڈ کے جوتے سیل پر ملیں تو تم بھی ہو گے, پچاس فیصد!!! ", 1
"اوہ، تم مجھے کتنی اچھی طرح جانتی ہو؟", 0
"یہ میرے نئے 'مجھے نوکری کی ضرورت نہیں، مجھے اپنے والدین کی ضرورت نہیں، میرے پاس بہت اچھے جوتے ہیں'!", 1
"تم ان کے لیے پیسے کہاں سے لائی؟", 0
"اہ، کریڈٹ کارڈ۔", 0
"اور اس میں پیسے کون ڈلواتا ہے?", 0
"ام... میرا... باپ۔", 0
"چلو, تم سری زندگی اپنے والدین ک سہارے نہیں رہ سکتی", 0
"میں جانتی ہوں... اسی لیے میں شادی کر رہی تھی", 2
"جان چھوڑ دو اس کی, پہلی بار اکیلے رہنا مشکل ہوتا ہے", 0
"شکریہ۔", 0
"کوئی بات نہیں، مجھے یاد ہے جب میں پہلی بار یہاں آئی تھی، میں چودہ سال کی تھی، میری ماں نے خود کشی کر لی تھی اور میرا سوتیلا باپ واپس جیل چلا گیا تھا اور میں یہاں کسی کو نہیں جانتی تھی۔ اور میں نے اس البینو لڑکے کے ساتھ رہنا شروع کیا جو پورٹ اتھارٹی کے باہر ونڈشیلڈز کی صفائی کرتا تھا، اور پھر اس نے خود کو مار ڈالا، اور پھر مجھے اروما تھراپی ملی۔ تو مجھ پر یقین کرو، میں بالکل جانتی ہوں کہ تم کیسا محسوس کر رہی ہو۔"", 2
"تم جو لفظ ڈھونڈ رہی ہو میرے خیال سے وہ 'خیر' ہے", 0
"ٹھیک ہے, تم تیار ہو؟", 0
"نہیں، نہیں، میں تیار نہیں ہوں! میں کیسے تیار ہو سکتی ہوں؟", 3
"میں یہ نہیں کر سکتی!", 3
"تم کر سکتی ہو, مجھے پتا ہے تم کر سکتی ہو", 1
"چلو، تم نے کافی بنائی! تم کچھ بھی کر سکتی ہو!", 1
"چلو، کاٹو، کاٹو، کاٹو، کاٹو، ...", 0
"حقیقی دنیا میں خوش آمدید! یہ بیکار ہے, تم اسے پسند کرو گی", 1
"بس بہت ہوا, تم یہیں صوفے پے سو گے?", 0
"نہیں، نہیں، مجھے کسی طرح گھر جانا ہے۔", 0
"تم ٹھیک رہو گے?", 3
"ہاں", 0
"ارے، دیکھو میں نے ابھی فرش پر کیا پایا۔", 5
" کیا؟", 5
"یہ پال کی گھڑی ہے۔ تم اسے وہیں رکھ دو جہاں سے ملی ہے۔", 0
"ٹھیک ہے۔ شب بخیر، سب کو۔", 0
"شب بخیر", 0
"مم۔ او نہیں-", 0
"معذرت -", 0
"ارے نہیں, اٹھا لو", 0
"نہیں, تم لے لو, واقعی, مجھے نہیں چاہیے", 0
"ادھا کر لون؟", 0
"ٹھیک ہے.", 0
"تھیک ہے، تمہیں شاید پتہ نہیں ہے، لیکن ہائی اسکول میں مجھے تم اچھی لگتی تھی", 1
"مجھے پتا تھا.", 0
"او تمہے پتا تھا! مجھے لگتا تھا کے تم بس مجھے مونیکا کا پڑھاکو بھائی سمجھتی تھی ", 1
"میں یہی سوچتی تھی", 0
"?اوہ، سنو، کیا تم سوچتی ہو- اور کوشش کرنا کہ میری شدید کمزوری کو یہاں کسی قسم کا عنصر نہ بننے دینا- تمہیں برا تو نہیں لگے گا اگر میں تمہارے کسی دن باہر لے جانا کا پوچھ لو", 1
"ہاں, شائد...", 1
"اچھا! شاید میں کسی دن پوچھ ہی لوں...", 1
"شب بخیر", 1
"شب بخیر", 0
"ملتے ہیں,", 0
"ارے تمہے کیا ہوا?", 1
"میں نے ابھی ایک چمچ پکڑا ہے۔", 1
"میں یقین نہیں کر سکتا جو میں یہاں سن رہا ہوں۔", 5
"کیا? مینے تو بس کہا ہے کے-", 0
"کیا تم بس کرو گی", 4
"اوہ، کیا میں دوبارہ کر رہی تھی؟", 5
"جی ہاں!", 4
"کیا کوئی اور کافی پسند کرے گا؟", 0
"کیا تم نی بنائی? یا تم صرف ڈال کے دے رہی ہو?", 3
"صرف ڈال کے دے رہی ہوں", 0
"ہاں۔ ہاں میں ایک کپ کافی پیوں گا۔", 0

/// episode 2

"جو آپ لوگ نہیں سمجھتے، ہمارے لیے بوسہ لینا اتنا ہی اہم ہے جتنا اس کا کوئی حصہ۔", 1
"ہاں، ٹھیک ہے! ....... سنجیدہ؟", 0
"ارے ہان!", 1
"جو کچھ آپ کو جاننے کی ضرورت ہے وہ اس پہلے بوسے میں ہے۔", 0
"بالکل۔", 0
"ہان مجھ سے لگاتا ہے کے بوسہ لینا ایک ابتدائی عمل ہے، یہ بلکل ایک اسٹینڈ اپ کامیڈی کی مانید ہے تمہے شو کے آخر تک بیتنا ہوتا ہے جب تک پنک فلائیڈ نہ باہر آ جائے", 1
"ہاں، اور- اور ایسا نہیں ہے کہ ہم مزاح نگار کو پسند نہیں کرتے، یہ وہ ہے- وہ... اس لیے ہم نے ٹکٹ نہیں خریدا۔", 0
"مسئلہ یہ ہے کہ، کنسرٹ ختم ہونے کے بعد، اس سے کوئی فرق نہیں پڑتا کہ شو کتنا ہی زبردست تھا، آپ لڑکیاں ہمیشہ کامیڈین کی تلاش میں رہتی ہیں، آپ کو؟ میرا مطلب ہے، ہم کار میں ہیں، ہم ٹریفک سے لڑ رہے ہیں۔ .. بنیادی طور پر صرف جاگنے کی کوشش کر رہے ہیں۔", 4
"ہان, پر مشورہ یہ ہے کے مزاک نگار کو واپس لے او. ورنہ, اگلی بار اکیلے ہی اس البم کو سن رہے ہو گے", 2
".... کیا ہم اب بھی سیکس کے بارے میں بات کر رہے ہیں؟", 0
"نہیں, یہ اچھا ہے, پر... وہ تھوڑی غصّے میں نہیں لگ رہی?", 3
"ٹھیک ہے، اسے کچھ مسائل ہیں.", 2
"واقعی؟", 3
